sample_idx,label,doppler_hz,insider_mode,power_preserving,power_diff_pct
175,1,28124.15562040184,ground,True,0.15579775652227862
176,1,-599868.2074668858,ground,True,0.8418169772217065
177,1,-621802.4396035416,ground,True,6.5482032894570805
178,1,-346590.7269707889,ground,True,0.14786714934435907
179,1,-36562.62139836425,ground,True,0.9074747462540977
180,1,-414865.1106277271,ground,True,6.724430238741892
181,1,-142009.85272377668,ground,True,0.3094241482120599
182,1,-321555.4845768885,ground,True,0.7776193594523457
183,1,-418145.09892990655,ground,True,6.127330572803648
184,1,-447263.7149867769,ground,True,0.1620881911228611
185,1,597658.4006879769,ground,True,0.8709579845239531
186,1,-362718.72517614346,ground,True,6.703611432788232
187,1,170796.80730302926,ground,True,0.1958421972314682
188,1,645440.044350031,ground,True,0.8428935104102678
189,1,564630.8365150437,ground,True,6.918962751599002
190,1,497812.9121117242,ground,True,0.21688486586571304
191,1,415901.42710934876,ground,True,1.0648725221427442
192,1,-158543.7467544244,ground,True,6.091611276829159
193,1,-370213.51463415945,ground,True,0.20679221301766734
194,1,183257.92146155116,ground,True,0.8542130059584432
195,1,497687.3581073924,ground,True,6.058976753546094
196,1,-546466.8678492199,ground,True,0.3143539851064423
197,1,-537865.2106401623,ground,True,0.7774593954183175
198,1,-261213.2618149015,ground,True,6.4452018318624615
199,1,-418477.04531334754,ground,True,0.2582153509821328
200,1,-293254.47506760113,ground,True,0.7697104890354997
201,1,33204.82719150445,ground,True,5.2374603094347245
202,1,589392.8974494949,ground,True,0.23521565824992896
203,1,468649.97777755116,ground,True,0.934846498704519
204,1,492344.3809734151,ground,True,5.8900232263097205
205,1,199254.50940028823,ground,True,0.22493662215445862
206,1,525818.6739326507,ground,True,0.7863062361719254
207,1,565975.7251020094,ground,True,6.285458549663006
208,1,42109.44690025017,ground,True,0.13248121226945286
209,1,164766.6320109927,ground,True,0.9780036507040367
210,1,-480326.4023416384,ground,True,6.358447265708262
211,1,312970.2693362721,ground,True,0.16759581608426
212,1,-554401.6904023401,ground,True,1.0231222201665553
213,1,231347.6601243261,ground,True,5.806319404763608
214,1,386269.07336239394,ground,True,0.23924153639430173
215,1,-167810.1116424472,ground,True,0.8537867472291764
216,1,261054.71630893476,ground,True,6.51765287648538
217,1,173084.82909111815,ground,True,0.1917044891386406
218,1,-574770.8952018725,ground,True,1.0225466479667302
219,1,699814.9600842592,ground,True,6.276161599269729
220,1,-242761.57355328056,ground,True,0.28192330005455035
221,1,589206.4193663233,ground,True,0.9513354749546417
222,1,-308314.8838867047,ground,True,6.310533860981347
223,1,-264256.4121190281,ground,True,0.24810405980934466
224,1,-698944.8178731899,ground,True,0.9133690313018257
225,1,212878.50878592447,ground,True,5.63641687342339
226,1,-463536.2023908413,ground,True,0.20808757658726876
227,1,-22394.999216813205,ground,True,0.9521882759103548
228,1,517014.2215592765,ground,True,5.023632971851214
229,1,-661185.9001902308,ground,True,0.2154590340229143
230,1,-538853.3985879804,ground,True,0.8588070158609826
231,1,-713943.4045555467,ground,True,6.833990720470492
232,1,-381995.8921622211,ground,True,0.2859491781989232
233,1,-439441.785193604,ground,True,0.8398877444778488
234,1,312525.32860599743,ground,True,6.203512677751498
235,1,719709.6364425003,ground,True,0.1949475576438298
236,1,592823.5616956566,ground,True,0.9496728122222311
237,1,-614775.26067022,ground,True,6.804167698283832
238,1,668046.5313470466,ground,True,0.24308103129124986
239,1,500074.8948004084,ground,True,0.8012711133673732
240,1,-182997.18761794217,ground,True,6.25748225240028
241,1,518565.341874181,ground,True,0.1957583247701271
242,1,-637161.8448003369,ground,True,0.9262662094293512
243,1,606994.526231699,ground,True,5.815246791260367
244,1,-663326.3326796466,ground,True,0.1482771924886933
245,1,258977.7002718418,ground,True,0.9966777689745965
246,1,-102740.0647982688,ground,True,6.282593275502
247,1,655806.185648412,ground,True,0.14165126804274644
248,1,8620.22827397206,ground,True,0.9068459770574808
249,1,374562.1545230908,ground,True,6.5613587573220915
250,1,-587419.4868252893,ground,True,0.20420148587846448
251,1,-279184.11838490306,ground,True,0.8892164137517324
252,1,-215892.62674775955,ground,True,5.997554578069785
253,1,615560.8534520022,ground,True,0.2893972682762795
254,1,250798.33956770762,ground,True,0.8893123424517032
255,1,-418305.36834233976,ground,True,5.989289200596508
256,1,-101025.43822465334,ground,True,0.14974030098097696
257,1,-480299.9305594528,ground,True,0.8182823822769041
258,1,589126.9832052331,ground,True,6.1295083868556155
259,1,27919.30239598756,ground,True,0.2463800147706665
260,1,389302.4443253208,ground,True,0.8244965175047528
261,1,-352757.30378736404,ground,True,6.270576485550082
262,1,452026.37864642363,ground,True,0.2688764727348237
263,1,386725.32061875414,ground,True,0.9899841836988577
264,1,69853.71188016153,ground,True,6.217067138161261
265,1,330603.13540467987,ground,True,0.23085429026019175
266,1,-118774.25560923945,ground,True,0.887084664863492
267,1,-488172.4912995721,ground,True,6.604983854980243
268,1,-177606.38707764423,ground,True,0.14822127751446593
269,1,-121322.77375520616,ground,True,0.9151171627438537
270,1,-145281.32660034718,ground,True,6.943584265416594
271,1,278139.680848763,ground,True,0.2158783963296198
272,1,-303579.8190965236,ground,True,0.8920729572619746
273,1,462304.5651989749,ground,True,6.982753157083775
274,1,460009.8563531194,ground,True,0.1573540566382746
275,1,-345910.0445786194,ground,True,0.9645524194621493
276,1,635829.4717518463,ground,True,6.721366132569201
277,1,656634.6726792974,ground,True,0.1778934905044728
278,1,-459344.0476499314,ground,True,0.9094040757233693
279,1,595257.3266760794,ground,True,6.800343386126119
280,1,624693.6880478122,ground,True,0.0923808565860359
281,1,-266545.14638986334,ground,True,0.9835036670786069
282,1,-68818.39859865794,ground,True,6.851351352164939
283,1,-688172.2841190983,ground,True,0.23294178263134802
284,1,-259816.21155451573,ground,True,0.9083594219484221
285,1,-479052.3420348465,ground,True,5.341913841047418
286,1,389215.2984778094,ground,True,0.17530276336526995
287,1,348648.1634066511,ground,True,0.9580398244935583
288,1,-50377.084159454105,ground,True,6.320485889449403
289,1,-152741.59671515998,ground,True,0.21900031572398299
290,1,-140308.6010156544,ground,True,0.9074747462540977
291,1,352018.2620374776,ground,True,5.917548923467678
292,1,25570.51931319828,ground,True,0.19853543515675462
293,1,-221566.23925613178,ground,True,0.9526998956435325
294,1,-215411.1944502031,ground,True,7.203240733531051
295,1,609066.6942411105,ground,True,0.1643527475790708
296,1,260626.45334440455,ground,True,0.9460914740899872
297,1,372209.1765416158,ground,True,6.746097667278099
298,1,-643569.8928391179,ground,True,0.17087616123893412
299,1,-384558.6599530402,ground,True,0.8361890710294955
300,1,416530.54644763324,ground,True,6.364445975586196
301,1,17684.452796850695,ground,True,0.1293406545503472
302,1,-206518.30984902792,ground,True,0.83963193461126
303,1,581325.9281028656,ground,True,6.516837071038493
304,1,53152.67931476248,ground,True,0.1477366810711618
305,1,214325.21531950706,ground,True,0.9225248918009186
306,1,-618171.6039717387,ground,True,6.589143546710645
307,1,210454.80809673402,ground,True,0.23962362205152232
308,1,-122527.27166818926,ground,True,0.8860294491638129
309,1,-506194.16768854624,ground,True,6.123802335634165
310,1,350117.1035216797,ground,True,0.18081038832666885
311,1,498599.50199133286,ground,True,0.7782055903966117
312,0,-610626.2785874852,ground,True,2.006060968523072
313,0,64608.68581893582,ground,True,3.7770474749835796
314,0,457302.7088467547,ground,True,6.825693347463879
315,0,-79829.43769341259,ground,True,2.4741047833911125
316,0,346532.68171337055,ground,True,4.490745804007952
317,0,-359393.71282411186,ground,True,6.248922524710681
318,0,423961.78715251415,ground,True,2.1804698712806903
319,0,645046.4734383167,ground,True,4.529014687828233
320,0,-236256.3990076524,ground,True,5.130205694975077
321,0,469357.85449363675,ground,True,1.753234079766976
322,0,-119046.90172704731,ground,True,5.290095150931296
323,0,-512855.9688292272,ground,True,5.007387281478513
324,0,411664.5917259459,ground,True,1.8213675892183572
325,0,126532.6368792768,ground,True,4.056715066580549
326,0,-214836.05183926964,ground,True,6.930617004706896
327,0,-514840.4472794436,ground,True,2.2422126597963445
328,0,662998.1500438427,ground,True,3.7754571676983866
329,0,535141.9335094145,ground,True,6.179501180183034
330,0,-589742.9195606797,ground,True,1.624877323122868
331,0,-472241.91638520645,ground,True,4.53173185037297
332,0,29725.637784028764,ground,True,7.4024268046090524
333,0,362777.61545321334,ground,True,2.7680620518798746
334,0,-693976.7618390331,ground,True,3.719052013561864
335,0,-163730.0730261151,ground,True,6.280197383139817
336,0,-644884.3189866489,ground,True,3.4907057378203534
337,0,562674.2954542091,ground,True,5.290095150931296
338,0,-156768.8842495365,ground,True,5.413362597322862
339,0,428142.2035009561,ground,True,3.1037314144556274
340,0,251641.886300727,ground,True,4.608190649340792
341,0,214263.406142614,ground,True,7.564187109346351
342,0,-386988.39184593776,ground,True,3.3048217035897136
343,0,-71479.73822483825,ground,True,4.665723668006504
344,0,-424727.2651320249,ground,True,3.2214758791801237
345,0,-270204.7647789928,ground,True,2.1813922952152303
346,0,684271.5482644285,ground,True,4.611834733184058
347,0,159915.8679985843,ground,True,6.776074060370712
348,0,-157633.00211852315,ground,True,2.221971716668961
349,0,-37828.79575851698,ground,True,3.6246937813070845
350,0,466904.7127048614,ground,True,6.411926816756876
351,0,-199950.98931165235,ground,True,2.158017293424228
352,0,-546460.0715738209,ground,True,6.0077396960320755
353,0,-29652.3297738779,ground,True,6.5557918201187215
354,0,518164.58604045864,ground,True,2.6379449825229098
355,0,-658236.7196616076,ground,True,4.02753779056407
356,0,-396300.8941592447,ground,True,5.657128527024729
357,0,406672.5357967914,ground,True,3.733901126052408
358,0,-123186.47835701998,ground,True,3.7771489839592305
359,0,467657.72306973394,ground,True,4.884031288884621
360,0,138545.81443379173,ground,True,2.9896143579804604
361,0,180658.81024472762,ground,True,4.129440591841579
362,0,63251.28216268276,ground,True,5.854457292826948
363,0,-625299.415897333,ground,True,1.7241220909955552
364,0,719694.1736475712,ground,True,3.32460994178318
365,0,-651673.3391655964,ground,True,6.255373013226877
366,0,304243.9608819815,ground,True,2.9555751193701125
367,0,-684490.4870341894,ground,True,4.041161639264333
368,0,-268458.9577641613,ground,True,5.684552423066197
369,0,-712047.6662593468,ground,True,3.0787217473582404
370,0,-574145.9402818539,ground,True,4.828318452771239
371,0,-214739.65108820974,ground,True,9.142828631186996
372,0,-78930.24404020933,ground,True,2.8188758605737263
373,0,-111874.87023350538,ground,True,5.176856249205503
374,0,-666957.8114396671,ground,True,7.339736249560443
375,0,-616425.0881739998,ground,True,3.327551779007592
376,0,-120120.32592663985,ground,True,5.092230451155673
377,0,-589205.0496465834,ground,True,5.00715899446458
378,0,319230.22176385357,ground,True,3.411724010009475
379,0,183381.9075323319,ground,True,3.969417367213246
380,0,-94335.78103422927,ground,True,8.065549576529047
381,0,642499.0182286545,ground,True,3.7159140370982024
382,0,72340.29549485643,ground,True,3.825579181162702
383,0,599027.2862223708,ground,True,6.535878819917415
384,0,685548.2382411779,ground,True,3.0429914556481004
385,0,-130855.4982814747,ground,True,4.131335425626296
386,0,-405464.0158169884,ground,True,6.743303331141916
387,0,-638764.3451083718,ground,True,2.4029765317246587
388,0,-290754.05337518326,ground,True,3.9223059343634756
389,0,145701.32504806208,ground,True,7.7719424478874615
390,0,588677.9417393706,ground,True,3.7239528510466697
391,0,486971.20577392326,ground,True,5.283733921790524
392,0,243120.85616824852,ground,True,3.9898678757907424
393,0,575098.8586904529,ground,True,2.9949059275562644
394,0,236197.9868559424,ground,True,5.2899372480802835
395,0,-509318.9672887174,ground,True,6.201416733520712
396,0,654672.9990467968,ground,True,2.5853643179772576
397,0,120575.12504586054,ground,True,4.078089260438075
398,0,-373575.85294966854,ground,True,7.319654896936776
399,0,-253267.59075876244,ground,True,2.166142329002029
400,0,105080.59186879748,ground,True,4.109940521242222
